,num,title,date,status,stream,area,wg,area2,key words
178,8453,Framework for Abstraction and Control of TE Networks (ACTN), August 2018 , INFORMATIONAL, IETF, rtg, teas,,
179,8452,AES-GCM-SIV: Nonce Misuse-Resistant Authenticated Encryption, April 2019 , INFORMATIONAL, IRTF,null,null,,
180,8451,Considerations for Selecting RTP Control Protocol (RTCP) Extended Report (XR) Metrics for the WebRTC Statistics API, September 2018 , INFORMATIONAL, IETF, art, xrblock,RTP,Web real-time communication
181,8450,RTP Payload Format for VC-2 High Quality (HQ) Profile, October 2018 , PROPOSED STANDARD, IETF, art, payload,RTP,"rtp, vc-2, VC2, dirac"
182,8449,Record Size Limit Extension for TLS, August 2018 , PROPOSED STANDARD, IETF, sec, tls,TLS,"TLS, record, IoT, encryption"
183,8448,Example Handshake Traces for TLS 1.3, January 2019 , INFORMATIONAL, IETF, sec, tls,TLS,
184,8447,IANA Registry Updates for TLS and DTLS, August 2018 , PROPOSED STANDARD, IETF, sec, tls,TLS,
185,8446,The Transport Layer Security (TLS) Protocol Version 1.3, August 2018 , PROPOSED STANDARD, IETF, sec, tls,TLS,"international data algorithm, symmetric, transport protocol layer, authentication, privacy"
186,8445,Interactive Connectivity Establishment (ICE): A Protocol for Network Address Translator (NAT) Traversal, July 2018 , PROPOSED STANDARD, IETF, art, ice,,
187,8444,OSPFv2 Extensions for Bit Index Explicit Replication (BIER), November 2018 , PROPOSED STANDARD, IETF, rtg, bier,OSPF,
188,8443,Personal Assertion Token (PASSporT) Extension for Resource Priority Authorization, August 2018 , PROPOSED STANDARD, IETF, art, stir,SIP,"SIP Resource-Priority, Resource Priority Header (rph), JSON Web Token Claim, Identity header, Authentication Service, Assertion, Verification Service"
189,8442,ECDHE_PSK with AES-GCM and AES-CCM Cipher Suites for TLS 1.2 and DTLS 1.2, September 2018 , PROPOSED STANDARD, IETF, sec, tls,TLS,
190,8441,Bootstrapping WebSockets with HTTP/2, September 2018 , PROPOSED STANDARD, IETF, art, httpbis,HTTP,CONNECT SETTINGS
191,8440,IMAP4 Extension for Returning MYRIGHTS Information in Extended LIST, August 2018 , PROPOSED STANDARD, IETF, art, extra,"IMAP, URN","IMAP4, LIST, MYRIGHTS, IMAP4, LIST, MYRIGHTS"
192,8439,ChaCha20 and Poly1305 for IETF Protocols, June 2018 , INFORMATIONAL, IRTF,null,null,,
193,8438,IMAP Extension for STATUS=SIZE, August 2018 , PROPOSED STANDARD, IETF, art, extra,IMAP,"imap, status, size"
194,8437,IMAP UNAUTHENTICATE Extension for Connection Reuse, August 2018 , PROPOSED STANDARD, IETF, art, extra,IMAP,"IMAP, unauthenticate, SASL, login, authenticate, authentication"
195,8436,Update to IANA Registration Procedures for Pool 3 Values in the Differentiated Services Field Codepoints (DSCP) Registry, August 2018 , PROPOSED STANDARD, IETF, tsv, tsvwg,,
196,8435,Parallel NFS (pNFS) Flexible File Layout, August 2018 , PROPOSED STANDARD, IETF, tsv, nfsv4,,
197,8434,Requirements for Parallel NFS (pNFS) Layout Types, August 2018 , PROPOSED STANDARD, IETF, tsv, nfsv4,,
198,8433,A Simpler Method for Resolving Alert-Info URNs, August 2018 , INFORMATIONAL, INDEPENDENT,null,null,"URN, SIP","Alert-Info, audio signals, call signaling, call transfer, resolution, signaling, signals, SIP, URN, visual signals, Alert-Info, audio signals, call signaling, call transfer, resolution, signaling, signals, SIP, URN, visual signals"
199,8432,A Framework for Management and Control of Microwave and Millimeter Wave Interface Parameters, October 2018 , INFORMATIONAL, IETF, rtg, ccamp,YANG,"Microwave, millimeter waves, YANG Model, interface management"
200,8431,A YANG Data Model for the Routing Information Base (RIB), September 2018 , PROPOSED STANDARD, IETF, rtg, i2rs,YANG,
201,8430,RIB Information Model, September 2018 , INFORMATIONAL, IETF, rtg, i2rs,,
202,8429,Deprecate Triple-DES (3DES) and RC4 in Kerberos, October 2018 , BEST CURRENT PRACTICE, IETF, sec, curdle,Kerberos,"GSS-API, GSS"
203,8428,Sensor Measurement Lists (SenML), August 2018 , PROPOSED STANDARD, IETF, art, core,,
204,8427,Representing DNS Messages in JSON, July 2018 , INFORMATIONAL, IETF,null, NON WORKING GROUP,DNS,
205,8426,Recommendations for RSVP-TE and Segment Routing (SR) Label Switched Path (LSP) Coexistence, July 2018 , INFORMATIONAL, IETF, rtg, teas,RSVP-TE,
206,8425,IANA Considerations for IPv6 Neighbor Discovery Prefix Information Option Flags, July 2018 , PROPOSED STANDARD, IETF, int, 6man,IPv6,
207,8424,Extensions to RSVP-TE for Label Switched Path (LSP) Ingress Fast Reroute (FRR) Protection, August 2018 , EXPERIMENTAL, IETF, rtg, teas,RSVP-TE,Head Protection
208,8423,Reclassification of Suite B Documents to Historic Status, July 2018 , INFORMATIONAL, IETF,null, NON WORKING GROUP,,
209,8422,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS) Versions 1.2 and Earlier, August 2018 , PROPOSED STANDARD, IETF, sec, tls,TLS,"ECDSA, EdDSA"
210,8421,Guidelines for Multihomed and IPv4/IPv6 Dual-Stack Interactive Connectivity Establishment (ICE), July 2018 , BEST CURRENT PRACTICE, IETF, art, ice,"IPv4, IPv6",", "
211,8420,Using the Edwards-Curve Digital Signature Algorithm (EdDSA) in the Internet Key Exchange Protocol Version 2 (IKEv2), August 2018 , PROPOSED STANDARD, IETF, sec, ipsecme,IKEv2,
212,8419,Use of Edwards-Curve Digital Signature Algorithm (EdDSA) Signatures in the Cryptographic Message Syntax (CMS), August 2018 , PROPOSED STANDARD, IETF, sec, curdle,,
213,8418,Use of the Elliptic Curve Diffie-Hellman Key Agreement Algorithm with X25519 and X448 in the Cryptographic Message Syntax (CMS), August 2018 , PROPOSED STANDARD, IETF, sec, curdle,,
214,8417,Security Event Token (SET), July 2018 , PROPOSED STANDARD, IETF, sec, secevent,,
215,8416,Simplified Local Internet Number Resource Management with the RPKI (SLURM), August 2018 , PROPOSED STANDARD, IETF, rtg, sidr,BGP,"RPKI, Local Trust Anchor, BGPsec"
216,8415,Dynamic Host Configuration Protocol for IPv6 (DHCPv6), November 2018 , PROPOSED STANDARD, IETF, int, dhc,"DHCPv6, IPv6","DHCPv6, IPv6, DHCP, DHCPv6, IPv6, DHCP"
217,8414,OAuth 2.0 Authorization Server Metadata, June 2018 , PROPOSED STANDARD, IETF, sec, oauth,OAuth,"OAuth, Discovery, Metadata, Discovery Metadata, Configuration Information, Authorization Server, WebFinger, JavaScript Object Notation, JSON, JSON Web Token, JWT"
218,8413,Framework for Scheduled Use of Resources, July 2018 , INFORMATIONAL, IETF, rtg, teas,MPLS,"Traffic Engineering, TE, Label Switched Path, LSP, MPLS, Path Computation Element, PCE, Software Defined Networking, SDN"
219,8412,Software Inventory Message and Attributes (SWIMA) for PA-TNC, July 2018 , PROPOSED STANDARD, IETF, sec, sacm,,
220,8411,IANA Registration for the Cryptographic Algorithm Object Identifier Range, August 2018 , INFORMATIONAL, IETF, sec, curdle,,
221,8410,"Algorithm Identifiers for Ed25519, Ed448, X25519, and X448 for Use in the Internet X.509 Public Key Infrastructure", August 2018 , PROPOSED STANDARD, IETF, sec, curdle,,
222,8409,The Entity Category Security Assertion Markup Language (SAML) Attribute Types, August 2018 , INFORMATIONAL, INDEPENDENT,null,null,,
223,8408,Conveying Path Setup Type in PCE Communication Protocol (PCEP) Messages, July 2018 , PROPOSED STANDARD, IETF, rtg, pce,,
224,8407,Guidelines for Authors and Reviewers of Documents Containing YANG Data Models, October 2018 , BEST CURRENT PRACTICE, IETF, ops, netmod,"NETCONF, YANG","NETMOD, NETCONF, RESTCONF, NETMOD, NETCONF, RESTCONF"
225,8406,Taxonomy of Coding Techniques for Efficient Network Communications, June 2018 , INFORMATIONAL, IRTF,null,null,,
226,8405,Shortest Path First (SPF) Back-Off Delay Algorithm for Link-State IGPs, June 2018 , PROPOSED STANDARD, IETF, rtg, rtgwg,,
227,8404,Effects of Pervasive Encryption on Operators, July 2018 , INFORMATIONAL, IETF,null, NON WORKING GROUP,NETCONF,"NETCONF, RESTCONF, Monitoring, Management, Security Management, Operations"
228,8403,A Scalable and Topology-Aware MPLS Data-Plane Monitoring System, July 2018 , INFORMATIONAL, IETF, rtg, spring,MPLS,"Segment based Routing, OAM, LSP surveillance, MPLS monitoring"
229,8402,Segment Routing Architecture, July 2018 , PROPOSED STANDARD, IETF, rtg, spring,,
230,8401,Bit Index Explicit Replication (BIER) Support via IS-IS, June 2018 , PROPOSED STANDARD, IETF, rtg, bier,IS-IS,
231,8400,Extensions to RSVP-TE for Label Switched Path (LSP) Egress Protection, June 2018 , PROPOSED STANDARD, IETF, rtg, teas,RSVP-TE,"FRR, Fast Reroute"
232,8399,Internationalization Updates to RFC 5280, May 2018 , PROPOSED STANDARD, IETF, sec, lamps,,
233,8398,Internationalized Email Addresses in X.509 Certificates, May 2018 , PROPOSED STANDARD, IETF, sec, lamps,,
234,8397,Transparent Interconnection of Lots of Links (TRILL) Multilevel Using Unique Nicknames, May 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
235,8396,"Managing, Ordering, Distributing, Exposing, and Registering Telephone Numbers (MODERN): Problem Statement, Use Cases, and Framework", July 2018 , INFORMATIONAL, IETF, art, modern,SIP,"SIP, Problem Statement, Real-Time Communication"
236,8395,Extensions to BGP-Signaled Pseudowires to Support Flow-Aware Transport Labels, June 2018 , PROPOSED STANDARD, IETF, rtg, bess,BGP,
237,8394,Split Network Virtualization Edge (Split-NVE) Control-Plane Requirements, May 2018 , INFORMATIONAL, IETF, rtg, nvo3,,
238,8393,"Operating the Network Service Header (NSH) with Next Protocol ""None""", May 2018 , PROPOSED STANDARD, IETF, rtg, sfc,,
239,8392,CBOR Web Token (CWT), May 2018 , PROPOSED STANDARD, IETF, sec, ace,OAuth,"JSON Web Token, JWT, Claims, Concise Binary Object Representation, CBOR, CBOR Object Signing and Encryption, COSE, OAuth, ACE"
240,8391,XMSS: eXtended Merkle Signature Scheme, May 2018 , INFORMATIONAL, IRTF,null,null,,
241,8390,RSVP-TE Path Diversity Using Exclude Route, July 2018 , PROPOSED STANDARD, IETF, rtg, teas,RSVP-TE,LSP diversity
242,8389,Definitions of Managed Objects for Mapping of Address and Port with Encapsulation (MAP-E), December 2018 , PROPOSED STANDARD, IETF, int, softwire,IPv6,"IPv6, MAP"
243,8388,Usage and Applicability of BGP MPLS-Based Ethernet VPN, May 2018 , INFORMATIONAL, IETF, rtg, bess,"MPLS, BGP","EVPN, EVPN"
244,8387,Practical Considerations and Implementation Experiences in Securing Smart Object Networks, May 2018 , INFORMATIONAL, IETF, int, lwig,,
245,8386,Privacy Considerations for Protocols Relying on IP Broadcast or Multicast, May 2018 , INFORMATIONAL, IETF, int, intarea,,
246,8385,Transparent Interconnection of Lots of Links (TRILL) Transparent Transport over MPLS, June 2018 , INFORMATIONAL, IETF, rtg, trill,MPLS,"VPLS, VPTS, TIR"
247,8384,Transparent Interconnection of Lots of Links (TRILL) Smart Endnodes, July 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
248,8383,Transparent Interconnection of Lots of Links (TRILL): Address Flush Message, May 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
249,8382,Shared Bottleneck Detection for Coupled Congestion Control for RTP Media, June 2018 , EXPERIMENTAL, IETF, tsv, rmcat,RTP,SBD
