,name,mes_count,end,start
158,eapext,11 Messages,2006-05-31,2012-01-24
159,earlywarning,436 Messages,2009-03-12,2011-08-11
160,eat,244 Messages,2018-05-24,2019-07-14
161,ecn-in-quic,69 Messages,2017-11-17,2018-05-22
162,ecrit,9916 Messages,2003-02-11,2019-09-02
163,edu-discuss,81 Messages,2003-07-25,2019-02-02
164,edu-team,5224 Messages,2003-07-25,2019-07-23
165,efficientnd-dt,200 Messages,2014-03-05,2015-03-15
166,ehip,3 Messages,2015-11-24,2015-12-18
167,eligibility-discuss,85 Messages,2019-04-26,2019-09-04
168,eman,2445 Messages,2010-08-27,2016-07-23
169,eme,143 Messages,2006-06-06,2008-10-06
170,emo-dir,52 Messages,2017-06-04,2019-05-03
171,emserv-discuss,2 Messages,2015-12-02,2019-05-10
172,emu,2614 Messages,2006-01-20,2019-09-02
173,endymail,183 Messages,2014-08-25,2019-04-11
174,enum,6761 Messages,1999-11-01,2019-07-02
175,esds,146 Messages,2007-09-27,2009-06-16
176,etosat,45 Messages,2018-04-02,2019-07-11
177,evolving-documents,1 Messages,2019-08-02,2019-08-02
178,extra,914 Messages,2017-09-13,2019-07-15
179,fecframe-proto,232 Messages,2007-06-08,2008-07-08
180,flexip,2 Messages,2018-11-27,2019-02-01
181,forces,5180 Messages,2000-12-06,2019-05-30
182,forces-protocol,1260 Messages,2004-02-26,2005-01-18
183,ftpext,640 Messages,1999-02-19,2013-07-16
184,fun,106 Messages,2011-06-06,2011-07-05
185,gaia,2369 Messages,2013-12-17,2019-08-23
186,gen-art,17268 Messages,2005-08-22,2019-09-05
187,geojson,532 Messages,2015-10-18,2019-03-18
188,geopriv,9439 Messages,2003-08-22,2017-02-02
189,ggie,201 Messages,2015-11-24,2019-07-31
190,grow,4556 Messages,2003-01-30,2019-09-04
191,gsmp,303 Messages,2001-11-17,2019-07-25
192,hackathon,727 Messages,2015-04-13,2019-08-16
193,hasmat,124 Messages,2010-06-03,2010-10-07
194,hiaps,369 Messages,2012-04-03,2015-08-17
195,hiccup,13 Messages,2007-03-20,2007-07-25
196,hipsec,4540 Messages,2003-07-16,2019-08-28
197,hokey,2226 Messages,2006-12-05,2012-08-02
198,homegate,872 Messages,2009-06-04,2011-07-14
199,homenet,8013 Messages,2011-06-06,2019-09-04
200,homenet-babel-sec,35 Messages,2017-05-23,2017-10-20
201,homesec-dt,2 Messages,2010-03-16,2010-03-23
202,hr-rt,137 Messages,2018-03-09,2019-07-23
203,hrpc,2406 Messages,2014-10-25,2019-09-02
204,http-auth,2749 Messages,2005-09-30,2019-02-23
205,http-devops,13 Messages,2013-08-29,2014-11-10
206,http-issues,2335 Messages,2015-10-05,2018-05-30
207,http-srv,27 Messages,2018-08-21,2018-11-06
208,http-state,1468 Messages,2009-01-09,2018-10-09
209,http-use,1 Messages,2015-10-06,2015-10-06
210,http-well-known,14 Messages,2018-05-07,2018-10-04
211,httpbisa,32734 Messages,2007-12-26,2019-09-05
212,httpmail,3 Messages,2009-03-31,2010-03-12
213,httpstreaming,274 Messages,2010-09-21,2011-02-15
214,hubmib,1239 Messages,1999-02-15,2013-06-19
215,humanresolvers,25 Messages,2007-09-26,2011-03-23
216,hybi,10900 Messages,2009-03-30,2019-08-15
217,i-d-announce,92239 Messages,2004-03-30,2019-09-05
218,i18n-discuss,65 Messages,2011-11-14,2019-05-10
219,i18ndir,311 Messages,2019-01-26,2019-09-04
220,i18nrp,261 Messages,2018-06-05,2019-02-14
221,i2nsf,2537 Messages,2014-09-24,2019-08-09
222,i2rs,4809 Messages,2012-07-27,2019-08-30
223,ianaplan,2343 Messages,2014-06-30,2017-09-09
224,iasa20,2871 Messages,2017-02-15,2019-09-05
225,ibnemo,306 Messages,2015-01-22,2016-04-12
226,icalendar,19 Messages,2011-05-23,2016-06-22
227,iccrg,1838 Messages,2005-09-27,2019-09-04
228,ice,1593 Messages,2015-07-21,2019-08-30
229,icnrg,2930 Messages,2011-03-02,2019-09-04
230,icnrg-harmonization,65 Messages,2016-08-22,2017-06-11
231,id-event,1400 Messages,2015-11-03,2019-08-29
232,ideas,607 Messages,2016-08-02,2017-11-12
233,idna-update,8166 Messages,2006-10-13,2019-08-30
234,idnet,235 Messages,2017-03-22,2019-03-11
235,idr,20812 Messages,1995-12-26,2019-09-04
236,ieee-ietf-coord,1193 Messages,2012-10-24,2019-09-04
237,iesg-agenda-dist,375 Messages,2006-09-07,2019-08-29
238,ietf,129554 Messages,1992-04-09,2019-09-05
239,ietf-822,6999 Messages,1992-01-10,2019-05-01
240,ietf-and-github,467 Messages,2016-01-26,2019-08-19
241,ietf-announce,18870 Messages,2004-04-01,2019-09-04
242,ietf-community-india,192 Messages,2016-04-15,2019-08-06
243,ietf-cycling,12 Messages,2015-11-05,2017-06-21
244,ietf-dkim,15787 Messages,2005-12-21,2019-09-03
245,ietf-hub-bangalore,43 Messages,2016-03-17,2017-11-06
246,ietf-hub-boston,379 Messages,2016-03-16,2018-06-13
247,ietf-languages,13951 Messages,2002-01-08,2019-08-27
248,ietf-meetings,2 Messages,2018-09-05,2018-10-11
249,ietf-mentees,14 Messages,2013-07-22,2013-10-24
250,ietf-mentoring-discuss,2 Messages,2015-07-31,2015-07-31
251,ietf-mentors,95 Messages,2013-07-22,2014-06-10
252,ietf-message-headers,216 Messages,2004-11-01,2019-08-23
253,ietf-nomcom,537 Messages,2008-08-14,2017-11-13
254,ietf-outcomes,44 Messages,2010-02-03,2010-02-15
255,ietf-privacy,606 Messages,2010-09-23,2019-09-04
256,ietf-runners,239 Messages,2010-04-20,2018-06-23
257,ietf-sailors,143 Messages,2007-06-12,2015-03-19
258,ietf-smtp,9119 Messages,1997-01-13,2019-09-05
259,ietf-sow,8 Messages,2011-11-03,2012-01-31
260,ietf-types,1142 Messages,2001-10-31,2019-02-11
261,ietf104-team,11 Messages,2019-01-15,2019-03-13
262,ietf106-team,1 Messages,2019-08-29,2019-08-29
263,ietf79-1st-timers,3 Messages,2010-11-06,2010-11-07
264,ietf80-1st-timers,5 Messages,2011-03-17,2011-03-29
265,ietfmibs,306 Messages,2006-10-26,2018-10-08
266,igmp-mld-bis,71 Messages,2019-01-08,2019-08-29
267,ila,354 Messages,2018-01-16,2018-07-27
268,ilc,31 Messages,2017-02-10,2017-03-31
269,ima,5545 Messages,2005-07-28,2019-06-14
270,imap5,614 Messages,2008-08-01,2018-11-08
271,imapext,5871 Messages,1998-04-09,2019-05-20
272,imrg,301 Messages,2002-08-20,2012-10-28
273,imss,432 Messages,2003-10-06,2009-06-15
274,independent,264 Messages,2006-06-07,2009-11-05
275,inip-discuss,81 Messages,2015-12-01,2019-05-17
276,insipid,1368 Messages,2012-03-06,2019-06-03
277,int-area,7364 Messages,2005-07-07,2019-09-05
278,int-dir,656 Messages,2014-03-26,2019-05-17
279,internetgovtech,698 Messages,2013-09-04,2019-05-10
280,ioam,93 Messages,2017-01-27,2017-02-18
281,iot-onboarding,140 Messages,2018-11-15,2019-09-04
282,iotsi,175 Messages,2015-12-02,2019-05-17
283,ipcdn,2077 Messages,1999-06-21,2014-07-14
284,ipfix,6953 Messages,2001-12-09,2018-01-16
285,ipoverib,1422 Messages,2001-09-12,2008-01-13
286,ipp,8165 Messages,2006-09-09,2019-09-04
287,ippm,5382 Messages,2003-03-03,2019-09-05
288,ippm-ioam-ix-dt,12 Messages,2019-08-08,2019-09-04
289,ipr-announce,1862 Messages,2009-02-03,2019-09-03
290,ipr-wg,5928 Messages,2002-06-06,2014-11-30
291,ips,15135 Messages,2000-02-04,2015-05-29
292,ipsec,34620 Messages,1992-08-14,2019-09-02
293,iptel,1276 Messages,2000-05-04,2015-06-09
294,ipv6,33719 Messages,2003-07-28,2019-09-05
295,ire,500 Messages,1996-11-05,2015-11-03
296,irnss,114 Messages,2001-12-02,2002-07-04
297,irs-discuss,367 Messages,2012-07-27,2012-11-16
298,irtf-announce,302 Messages,2005-05-11,2019-09-04
299,irtf-discuss,415 Messages,2010-07-28,2019-09-03
300,ischedule,14 Messages,2009-11-16,2014-03-18
301,isis-wg,5009 Messages,2002-07-18,2018-03-01
302,isms,4720 Messages,2004-09-02,2018-05-08
303,it-test,72 Messages,2014-02-10,2018-09-04
304,its,3575 Messages,2012-03-13,2019-09-04
305,itu+ietf,85 Messages,2000-02-04,2006-06-08
306,iucg,847 Messages,2008-11-23,2019-06-04
307,jcardcal,481 Messages,2013-02-27,2016-11-10
308,jmap,1032 Messages,2016-11-16,2019-09-05
309,jose,5861 Messages,2011-02-17,2019-08-21
310,jose-reg-review,13 Messages,2014-11-17,2018-07-20
311,json,4564 Messages,2013-02-18,2019-09-04
312,json-canon,40 Messages,2019-01-18,2019-02-18
313,justfont,68 Messages,2015-12-18,2017-03-01
314,jwt-reg-review,77 Messages,2014-11-19,2019-08-29
315,kaml,74 Messages,2007-08-22,2012-03-20
316,karp,1167 Messages,2009-10-17,2015-05-12
317,keyassure,2225 Messages,2010-08-17,2011-04-04
318,keyprov,1011 Messages,2007-04-18,2018-03-29
319,kitten,6671 Messages,2004-09-03,2019-08-31
320,krb-wg,7303 Messages,2006-09-04,2017-08-28
321,l1vpn,403 Messages,2004-07-14,2013-06-06
322,l2sm,204 Messages,2016-10-04,2019-07-09
323,l2tpext,1196 Messages,2000-11-28,2018-05-17
324,l2vpn,4406 Messages,2003-05-24,2019-06-17
325,l3sm,827 Messages,2015-03-03,2019-06-26
326,lager,364 Messages,2015-06-22,2017-11-16
327,lake,54 Messages,2019-06-21,2019-09-04
328,ldap-dir,2243 Messages,2003-04-17,2012-09-20
329,ldapext,1429 Messages,1999-08-19,2019-07-04
330,ledbat,589 Messages,2008-11-11,2012-12-20
331,ledger,259 Messages,2016-08-02,2019-09-03
332,lemonade,4949 Messages,2003-04-18,2019-05-07
333,lime,898 Messages,2014-09-15,2019-05-08
334,link-relations,723 Messages,2010-07-14,2019-07-29
335,lisp,8259 Messages,2008-11-19,2019-09-03
336,llc-consultation,6 Messages,2019-05-16,2019-07-20
337,lln-futures,108 Messages,2012-05-16,2019-08-22
338,lmap,2943 Messages,2012-04-13,2018-03-20
339,loops,103 Messages,2019-04-11,2019-09-03
340,lp-wan,1881 Messages,2015-11-10,2019-08-30
341,lsd,9 Messages,1998-01-27,2010-07-16
342,lsr,2272 Messages,2018-02-09,2019-09-05
343,lsvr,283 Messages,2017-12-13,2019-09-03
344,ltans,974 Messages,2003-10-07,2018-05-29
345,ltru,13521 Messages,2005-03-09,2019-08-30
346,lucid,45 Messages,2015-02-17,2015-03-30
347,lurk,357 Messages,2016-01-16,2019-07-23
348,lwip,1069 Messages,2010-03-21,2019-09-02
349,magma,1370 Messages,2002-03-08,2012-03-29
350,maitai,48 Messages,2010-10-13,2010-12-21
351,malloc,68 Messages,1998-12-15,2008-01-31
352,manet,17773 Messages,2000-10-01,2019-08-22
353,manycouches,144 Messages,2016-06-29,2019-08-29
354,maprg,234 Messages,2016-01-12,2019-09-04
355,marf,2362 Messages,2005-04-29,2018-07-30
356,marnew,230 Messages,2015-05-29,2016-01-28
357,marnew-pc,245 Messages,2015-06-26,2018-01-30
358,martini,2111 Messages,2009-12-05,2012-03-18
359,masque,28 Messages,2019-05-21,2019-08-08
360,mathmesh,16 Messages,2019-08-06,2019-09-04
361,mavs,37 Messages,2005-10-07,2006-05-16
362,mboned,2865 Messages,2005-10-31,2019-09-04
363,mcast-wifi,22 Messages,2015-11-10,2018-12-14
364,mcic,5 Messages,2014-11-03,2014-12-12
365,mdnsext,257 Messages,2012-10-09,2013-10-11
366,media-feature-tags,46 Messages,2003-02-18,2004-05-15
367,media-types,1031 Messages,2010-09-16,2019-08-17
368,mediactrl,1817 Messages,2006-11-13,2013-11-12
369,medup,33 Messages,2019-02-01,2019-07-24
370,megaco,8504 Messages,1999-08-24,2016-04-26
371,mentoring-coordinators,1526 Messages,2013-05-13,2019-07-21
372,mext,5016 Messages,2007-06-25,2012-03-02
373,mib-doctors,2575 Messages,2006-07-18,2018-10-09
374,mib2rdml,37 Messages,2007-04-13,2013-08-15
375,midcom,3658 Messages,2001-01-17,2015-02-09
376,middisc,138 Messages,2010-05-21,2014-02-25
377,mif,2536 Messages,2008-11-26,2016-05-10
378,mif-arch-dt,167 Messages,2013-04-12,2014-01-07
379,mile,2622 Messages,2011-05-10,2019-09-05
380,mip6,8818 Messages,2003-07-24,2010-09-17
381,mipshop,3935 Messages,2003-07-24,2019-04-26
382,mipshop-mih-dt,697 Messages,2007-01-10,2008-04-16
383,mls,600 Messages,2018-02-05,2019-08-30
384,mmox,1396 Messages,2009-02-03,2010-02-05
385,mmusic,23510 Messages,1987-06-02,2019-09-05
386,mobopts,819 Messages,2003-12-17,2012-06-11
387,model-t,64 Messages,2019-07-29,2019-08-14
388,modern,726 Messages,2014-04-10,2018-07-20
389,monami6,3816 Messages,2005-03-04,2010-02-08
390,mops,3 Messages,2019-07-31,2019-08-30
391,morg,574 Messages,2007-05-02,2019-05-20
392,mpls,18615 Messages,1999-11-27,2019-09-04
393,mpls-interop,1247 Messages,2008-02-29,2009-05-11
394,mpls-review,34 Messages,2012-05-16,2016-03-01
395,mpvdapi,10 Messages,2015-04-02,2015-07-06
396,msec,455 Messages,2006-07-07,2017-11-21
397,mtg-guests,3 Messages,2009-03-24,2011-03-15
398,mtgvenue,1501 Messages,2016-03-09,2019-08-20
399,mud,155 Messages,2019-05-12,2019-09-04
400,multimob,1833 Messages,2007-04-19,2014-12-02
401,multimobsec-api,90 Messages,2006-04-22,2007-01-23
402,multipathtcp,3855 Messages,2009-02-16,2019-09-02
403,multrans,206 Messages,2011-04-08,2012-01-06
404,nat66,918 Messages,2008-12-03,2012-03-13
405,nea,1407 Messages,2005-11-22,2016-05-18
406,nemo,6836 Messages,2003-05-13,2012-10-30
407,netconf,16664 Messages,2004-05-25,2019-09-03
408,netext,3243 Messages,2008-07-17,2019-05-28
409,nethistory,86 Messages,2013-03-10,2019-05-26
410,netlmm,6575 Messages,2006-05-18,2017-02-02
411,netmod,23167 Messages,2008-04-30,2019-09-05
412,netmod-ver-dt,1071 Messages,2018-05-14,2019-08-29
413,netrqmts,39 Messages,2019-06-20,2019-08-01
414,netslices,673 Messages,2017-01-13,2019-07-10
415,new-wg-docs,45 Messages,2019-06-21,2019-09-04
416,newprep,77 Messages,2010-02-03,2010-06-13
417,nfsv4,16574 Messages,1999-09-02,2019-09-03
418,nfvcon,62 Messages,2013-12-02,2014-07-23
419,nfvrg,973 Messages,2014-06-04,2018-11-19
420,ngo,890 Messages,2006-11-14,2012-04-26
421,nmrg,2152 Messages,1999-03-25,2019-08-27
422,nntpext,299 Messages,2006-08-19,2017-09-05
423,notifications,89 Messages,2005-12-21,2007-09-04
424,nsaas,44 Messages,2014-08-11,2016-03-01
425,nsis,7669 Messages,2001-04-16,2013-03-05
426,nsis-imp,137 Messages,2005-02-08,2012-12-26
427,ntdp,14 Messages,2006-06-17,2006-08-02
428,ntp,5028 Messages,2004-11-22,2019-09-05
429,ntpwg,3 Messages,2019-07-23,2019-07-24
430,nvo3,6772 Messages,2011-09-29,2019-08-23
431,nvo3-dt-encap,158 Messages,2016-12-13,2017-03-21
432,nwcrg,1023 Messages,2012-11-16,2019-09-02
433,oam,70 Messages,2010-08-11,2010-10-25
434,oauth,19802 Messages,2008-11-21,2019-09-05
435,oauth-ext-review,71 Messages,2012-10-11,2019-09-04
436,obscurity-interest,33 Messages,2011-03-17,2011-04-18
437,off-path-bof,29 Messages,2006-06-06,2006-10-09
438,ogpx,973 Messages,2009-05-19,2010-03-30
439,omcast,6 Messages,2005-09-27,2007-10-06
440,openpgp,9387 Messages,1997-07-22,2019-09-02
441,openv6,168 Messages,2014-01-18,2014-08-19
442,ops-area,1285 Messages,2006-10-04,2018-11-05
443,ops-nm,126 Messages,2006-08-06,2016-03-26
444,opsawg,6277 Messages,2007-06-15,2019-09-03
445,opsec,2546 Messages,2007-12-19,2019-09-03
446,ospf,9157 Messages,1997-11-03,2018-03-01
447,oud,2 Messages,2010-10-21,2010-10-26
448,p2pi,929 Messages,2008-04-23,2009-08-06
449,p2psip,6772 Messages,2005-08-08,2018-12-04
450,pals,1440 Messages,2014-10-16,2019-05-08
451,pana,3123 Messages,2003-09-12,2016-12-02
452,panic,37 Messages,2017-05-15,2018-03-15
453,panrg,145 Messages,2017-07-12,2019-08-07
454,patient,80 Messages,2017-11-07,2018-07-03
455,paw,114 Messages,2018-11-08,2019-04-17
456,paws,2037 Messages,2011-02-03,2016-12-19
457,payload,2048 Messages,2011-01-25,2019-08-15
458,pce,6840 Messages,2004-09-02,2019-09-04
459,pcn,3231 Messages,2006-08-17,2017-03-11
460,pearg,140 Messages,2018-07-05,2019-08-23
461,peppermint,285 Messages,2007-01-04,2008-07-31
462,perc,997 Messages,2015-06-08,2019-08-30
463,perpass,2095 Messages,2013-08-15,2017-07-11
464,pidloc,98 Messages,2018-07-27,2019-08-01
465,pim,4021 Messages,1998-09-04,2019-09-05
466,pkix,31990 Messages,1993-11-11,2019-08-23
467,pkng,90 Messages,2009-08-12,2011-02-09
468,plasma,173 Messages,2011-02-03,2015-03-09
469,plus,29 Messages,2016-12-05,2017-07-13
470,pm-dir,805 Messages,2007-08-02,2017-10-03
471,pmol,395 Messages,2007-08-02,2012-11-11
472,pntaw,204 Messages,2013-08-23,2014-01-22
473,pop3ext,297 Messages,1998-03-12,2012-11-18
474,port-srv-reg,852 Messages,2008-03-18,2011-11-15
475,posh,51 Messages,2013-06-04,2017-10-17
476,pppext,615 Messages,2004-04-06,2019-03-19
477,ppsp,2006 Messages,2008-10-10,2017-09-08
478,precis,1494 Messages,2010-06-11,2018-12-11
479,privacydir,71 Messages,2010-12-21,2012-05-29
480,privsec-discuss,18 Messages,2016-09-26,2019-08-16
481,provreg,5156 Messages,2000-12-15,2016-02-04
482,proxies,61 Messages,2008-04-16,2015-08-02
483,psamp,489 Messages,2002-12-05,2013-12-09
484,pwe3,12351 Messages,2001-02-22,2016-07-12
485,pwot,53 Messages,2001-02-22,2013-08-25
486,qirg,333 Messages,2018-03-21,2019-09-04
487,qos_inband,10 Messages,2006-12-19,2007-02-01
488,quic,6395 Messages,2016-05-06,2019-09-03
489,quic-issues,34983 Messages,2016-11-17,2019-09-05
490,radext,10095 Messages,2003-08-10,2019-04-10
491,radir,423 Messages,2007-03-02,2012-08-24
492,rai-discuss,15 Messages,2006-07-13,2011-01-19
493,ram,1873 Messages,2006-11-16,2008-07-10
494,ranger,4 Messages,2009-02-03,2009-05-14
495,rap,124 Messages,2007-01-14,2008-01-13
496,rats,737 Messages,2018-03-07,2019-09-03
497,raw,57 Messages,2019-04-17,2019-07-30
498,rddp,1968 Messages,2002-07-18,2011-12-30
499,rdma-cc-interest,4 Messages,2019-07-23,2019-08-12
500,re-ecn,734 Messages,2007-06-07,2010-06-04
501,reap,28 Messages,2017-09-28,2017-12-01
502,recentattendees,212 Messages,2013-05-26,2019-08-29
503,recipe,46 Messages,2008-10-01,2011-07-26
504,regext,2552 Messages,2016-02-05,2019-09-02
505,remoteui,149 Messages,2005-06-29,2006-12-11
506,renum,461 Messages,2010-12-01,2013-10-07
507,resolverless-dns,143 Messages,2018-07-27,2019-09-04
508,revampers,57 Messages,2015-06-04,2018-04-30
509,rfc-dist,5112 Messages,2002-05-07,2019-09-04
510,rfc-interest,10522 Messages,2004-05-11,2019-09-04
511,rfc-markdown,177 Messages,2014-12-04,2019-09-03
512,rift,423 Messages,2017-12-13,2019-09-04
513,rip,15 Messages,1999-02-19,2013-06-28
514,rmcat,2078 Messages,2012-09-21,2019-09-04
515,rohc,4989 Messages,2002-02-17,2019-05-17
516,roll,11097 Messages,2008-02-15,2019-09-05
517,roll-bier-dt,120 Messages,2018-06-07,2019-03-26
518,routing-discussion,2115 Messages,2002-04-02,2019-08-01
519,rps,193 Messages,2003-08-28,2008-06-25
520,rpsec,1955 Messages,2002-03-23,2009-03-27
521,rserpool,1193 Messages,2001-03-01,2015-08-10
522,rsn,307 Messages,2007-04-07,2008-03-20
523,rsvp-dir,80 Messages,2010-05-10,2014-08-20
524,rt-media-ng,1 Messages,2018-03-26,2018-03-26
525,rtcweb,17869 Messages,2011-03-31,2019-08-27
526,rtg-bfd,4403 Messages,2003-08-20,2019-09-04
527,rtg-dir,4305 Messages,2002-11-15,2019-09-03
528,rtg-dt-encap-considerations,191 Messages,2014-12-03,2017-09-04
529,rtg-ooam-dt,415 Messages,2015-12-16,2016-09-19
530,rtg-open-source,22 Messages,2016-07-26,2017-10-30
531,rtg-yang-coord,639 Messages,2014-10-06,2018-03-20
532,rtgwg,5444 Messages,2004-03-01,2019-08-30
533,rum,104 Messages,2019-03-05,2019-09-04
534,run,440 Messages,1994-08-26,2001-10-11
535,saad,62 Messages,2003-10-15,2004-03-05
536,saag,6600 Messages,2008-01-02,2019-09-04
537,sacm,5766 Messages,2010-09-14,2019-08-28
538,safe,76 Messages,2007-06-14,2007-12-14
539,salud,593 Messages,2010-07-06,2018-08-30
540,sami,121 Messages,2011-08-10,2017-03-07
541,sandbox-mailoutput,812 Messages,2014-07-07,2019-08-14
542,sasl,4647 Messages,1996-11-05,2010-11-30
543,savi,1915 Messages,2006-07-13,2018-10-18
544,scap_interest,110 Messages,2010-09-14,2012-03-08
545,scim,2911 Messages,2012-01-27,2019-08-07
546,scsn,7 Messages,2016-02-04,2016-04-12
547,sdwan-sec,2 Messages,2018-09-11,2018-09-13
548,secdir,9144 Messages,2008-09-26,2019-09-04
549,secdispatch,450 Messages,2018-02-16,2019-08-28
550,secretariat-2012,5 Messages,2011-05-06,2011-05-17
551,secsh,1402 Messages,2003-10-17,2017-10-25
552,sfc,6080 Messages,2014-01-08,2019-09-04
553,shara,282 Messages,2009-01-20,2011-09-01
554,shim6,2282 Messages,2005-01-10,2015-01-04
555,shutup,206 Messages,2015-11-25,2019-05-13
556,sica,1 Messages,2015-11-19,2015-11-19
557,sidr,8782 Messages,2005-11-01,2019-07-18
558,sidrops,1015 Messages,2016-10-12,2019-08-21
559,siesta,17 Messages,2013-11-13,2013-12-09
560,sieve,5392 Messages,1997-01-12,2018-11-26
561,sigtran,8213 Messages,2001-04-12,2018-01-23
562,simple,10028 Messages,2002-12-12,2017-05-22
563,sip-clf,608 Messages,2009-05-04,2013-02-19
564,sip-http-events,27 Messages,2009-11-23,2010-02-08
565,sip-ops,58 Messages,2009-04-27,2010-09-27
566,sipbrandy,165 Messages,2016-07-01,2019-08-09
567,sipcore,9935 Messages,2009-04-14,2019-09-03
568,sipping,17154 Messages,2001-05-23,2018-03-22
569,siprec,4366 Messages,2010-03-12,2017-02-28
570,sixpac,51 Messages,2010-11-11,2011-03-31
571,slim,1340 Messages,2014-11-11,2018-10-25
572,smart,182 Messages,2018-09-21,2019-08-17
573,smartobject-interest,13 Messages,2011-08-02,2015-12-10
574,smartobjectdir,109 Messages,2011-08-02,2014-09-26
575,smartpower-interest,196 Messages,2010-01-14,2011-08-01
576,smartpowerdir,221 Messages,2010-01-14,2011-08-02
577,smime,5711 Messages,1998-09-10,2019-08-19
578,sming,1 Messages,2010-09-15,2010-09-15
579,softwires,7198 Messages,2005-08-22,2019-07-08
580,solace,51 Messages,2012-08-16,2013-12-26
581,sop,110 Messages,2012-02-14,2017-01-31
582,spam,570 Messages,2001-01-13,2009-03-31
583,spasm,2372 Messages,2016-04-14,2019-08-29
584,spb-isis,45 Messages,2009-07-24,2012-03-29
585,speechsc,1641 Messages,2002-07-29,2014-12-04
586,speermint,2774 Messages,2006-01-04,2011-11-07
587,spfbis,4438 Messages,2011-11-28,2019-08-22
588,spkm,88 Messages,2006-10-03,2009-07-13
589,splices,192 Messages,2010-07-20,2012-01-25
590,spring,4941 Messages,2013-06-20,2019-09-05
591,spud,772 Messages,2015-02-06,2016-12-05
592,ssh,47 Messages,1998-09-16,2014-07-10
593,sshmgmt,11 Messages,2013-03-12,2014-09-14
594,ssm,314 Messages,2003-01-15,2008-01-30
595,stackevo,801 Messages,2014-07-21,2019-08-07
596,stackevo-discuss,73 Messages,2015-07-24,2017-02-21
597,stir,3758 Messages,2013-06-05,2019-09-03
598,storagesync,231 Messages,2015-08-20,2016-03-29
599,storm,863 Messages,2009-04-24,2016-02-24
600,suit,949 Messages,2017-02-09,2019-08-23
601,sunset4,608 Messages,2012-05-01,2019-08-03
602,supa,1683 Messages,2014-08-20,2017-08-04
603,swmp,70 Messages,2007-05-23,2007-09-20
604,syslog,3131 Messages,2002-04-06,2017-05-05
605,t2trg,970 Messages,2015-02-12,2019-08-30
606,tae,155 Messages,2008-11-25,2016-09-28
607,tana,230 Messages,2008-08-16,2009-03-13
608,tao-discuss,74 Messages,2012-07-20,2019-07-15
609,tap,247 Messages,2008-08-19,2015-04-06
610,taps,1784 Messages,2014-03-06,2019-08-30
611,tcpinc,1260 Messages,2014-08-08,2019-06-05
612,tcpm,10539 Messages,2004-02-19,2019-09-05
613,tcpprague,177 Messages,2015-07-24,2019-07-16
614,teaching,8 Messages,2015-07-24,2019-07-17
615,teas,4456 Messages,2014-11-19,2019-09-04
616,teas-3272bis-design-team,73 Messages,2019-01-28,2019-07-23
617,teep,513 Messages,2017-02-08,2019-08-26
618,ternli,79 Messages,2006-06-12,2007-02-15
619,testlist,183 Messages,2008-04-29,2018-09-28
620,therightkey,971 Messages,2012-01-13,2015-08-07
621,tictoc,2309 Messages,2006-09-07,2019-07-22
622,tlp-interest,155 Messages,2009-08-17,2019-09-04
623,tls,28255 Messages,2004-09-07,2019-09-05
624,tls-implementers,1 Messages,2016-05-20,2016-05-20
625,tls-reg-review,112 Messages,2018-06-04,2019-09-04
626,tm-rid,27 Messages,2019-07-22,2019-08-28
627,tmrg,429 Messages,2003-04-07,2011-09-26
628,tn3270e,18 Messages,2010-07-28,2018-05-13
629,tofoo,58 Messages,2014-04-11,2017-09-09
630,tools-development,2652 Messages,2007-02-08,2019-08-18
631,tools-discuss,5523 Messages,2004-09-03,2019-09-01
632,trade,1157 Messages,1998-03-27,2006-12-22
633,tram,2848 Messages,2013-11-15,2019-09-04
634,trans,3388 Messages,2014-02-18,2019-08-30
635,trill,8290 Messages,2004-03-11,2019-06-27
636,trust-router,42 Messages,2013-03-12,2013-11-09
637,trustees-only,4 Messages,2019-08-26,2019-08-27
638,tsv-area,1560 Messages,2006-08-09,2019-08-28
639,tsv-art,1139 Messages,2015-01-17,2019-09-04
640,tsvwg,17663 Messages,1999-10-02,2019-09-04
641,tzdist-bis,483 Messages,2018-05-11,2019-07-25
642,tzdist-service,4 Messages,2016-09-08,2017-10-17
643,unbearable,1756 Messages,2014-12-05,2019-07-05
644,uri-review,1406 Messages,2003-03-07,2019-02-25
645,urn,4019 Messages,1996-08-01,2019-08-28
646,usefor,4817 Messages,2004-08-31,2017-09-27
647,uta,3125 Messages,2013-12-11,2019-08-26
648,v4tov6transition,406 Messages,2010-08-11,2011-08-02
649,v4v6interim,303 Messages,2008-09-12,2008-11-02
650,v6ops,31241 Messages,2004-12-17,2019-08-27
651,vcarddav,2916 Messages,2007-08-14,2019-01-11
652,venue-selection,172 Messages,2016-04-18,2018-11-15
653,video-codec,652 Messages,2012-08-16,2019-06-26
654,videomgmt,9 Messages,2005-09-19,2005-10-24
655,vmeet,942 Messages,2009-03-31,2017-11-13
656,vnfpool,398 Messages,2013-09-05,2016-06-22
657,vnrg,333 Messages,2008-03-05,2012-02-08
658,vot,298 Messages,2014-09-11,2017-12-08
659,vpim,5 Messages,2004-04-06,2005-11-07
660,vpn-dir,13 Messages,2003-08-04,2004-03-30
661,vpn4dc,4 Messages,2011-10-05,2012-01-31
662,vrrp,1027 Messages,2000-02-27,2018-11-04
663,vwrap,917 Messages,2010-03-30,2011-05-19
664,w3c-policy,642 Messages,2005-08-10,2013-02-28
