,name,mes_count,end,start
868,http,1 Messages,2007-01-31,2007-01-31
869,i2rs-proto-dt,103 Messages,2015-08-26,2015-11-30
870,iafa,311 Messages,1991-11-26,1996-12-16
871,icar,294 Messages,2003-12-10,2005-03-22
872,ident,430 Messages,1992-04-02,1994-03-15
873,idmr,161 Messages,2000-01-08,2008-01-31
874,idn,6105 Messages,2001-01-05,2012-05-20
875,idpr,210 Messages,1992-03-06,1994-11-05
876,ids,119 Messages,1993-02-11,1998-07-09
877,idwg,177 Messages,2006-04-25,2008-01-31
878,ieprep,2476 Messages,2002-01-08,2007-09-10
879,ietf-62,93 Messages,2005-01-21,2005-04-05
880,ietf-ack,526 Messages,1992-02-06,1996-03-27
881,ietf-announce-old,27700 Messages,1998-08-20,2004-03-29
882,ietf72-1st-timers,4 Messages,2008-06-20,2008-09-06
883,ietf74-1st-timers,2 Messages,2009-02-17,2009-03-11
884,ietf74-team,41 Messages,2009-02-03,2009-03-18
885,ietf75-1st-timers,2 Messages,2009-07-15,2009-07-24
886,ietf76-1st-timers,2 Messages,2009-11-03,2009-11-07
887,ietf77-1st-timers,3 Messages,2010-03-17,2010-03-22
888,ifmib,3 Messages,2005-07-13,2005-07-18
889,imap,3815 Messages,1993-04-26,1997-09-02
890,iola-conversion-tool,209 Messages,2012-01-20,2012-03-23
891,iola-wgcharter-tool,16 Messages,2011-08-15,2012-04-23
892,ion,139 Messages,2006-08-02,2008-01-13
893,ip1394,5 Messages,1999-03-23,2007-07-01
894,ipae,312 Messages,1992-07-25,1993-07-16
895,ipdvb,139 Messages,2006-09-14,2011-02-24
896,iplpdn,988 Messages,1992-01-07,1996-06-20
897,ipngwg,1417 Messages,1998-10-01,2009-02-02
898,ipoib,152 Messages,2007-06-28,2009-02-01
899,iporpr,295 Messages,2001-09-26,2008-07-25
900,ippcp,269 Messages,1997-06-22,1998-12-12
901,iprp,4 Messages,2015-10-22,2016-08-30
902,ipseckey,14 Messages,2003-06-04,2004-05-15
903,ipsp,765 Messages,2006-08-02,2009-02-02
904,ipsra,308 Messages,2006-08-02,2009-02-03
905,ipv6-dir,120 Messages,2004-02-13,2007-01-26
